#latency,cnt,cdf
0,1,0.000000
30,35,0.000004
50,19511,0.001955
60,1377977,0.139752
70,97411,0.149494
80,1323398,0.281833
90,23810,0.284214
100,97832,0.293997
110,468527,0.340850
120,794380,0.420288
130,281037,0.448392
140,50508,0.453443
150,383481,0.491791
160,86060,0.500397
170,414987,0.541896
180,452869,0.587182
190,392331,0.626415
200,689226,0.695338
210,125660,0.707904
220,534295,0.761334
230,182585,0.779592
240,243606,0.803953
250,428137,0.846766
260,219779,0.868744
270,378972,0.906641
280,108146,0.917456
290,117221,0.929178
300,106929,0.939871
310,261680,0.966039
320,105663,0.976605
330,57240,0.982329
340,33850,0.985714
350,37980,0.989512
360,18151,0.991328
370,12547,0.992582
380,23810,0.994963
390,10964,0.996060
400,6741,0.996734
410,5491,0.997283
420,5254,0.997808
430,3306,0.998139
440,2627,0.998402
450,2560,0.998658
460,1936,0.998851
470,1590,0.999010
480,1152,0.999125
490,857,0.999211
500,615,0.999273
510,538,0.999326
520,592,0.999385
530,490,0.999434
540,312,0.999466
550,166,0.999482
560,136,0.999496
570,130,0.999509
580,149,0.999524
590,104,0.999534
600,119,0.999546
610,82,0.999554
620,61,0.999560
630,60,0.999566
640,70,0.999573
650,76,0.999581
660,47,0.999586
670,69,0.999593
680,49,0.999597
690,44,0.999602
700,73,0.999609
710,40,0.999613
720,49,0.999618
730,48,0.999623
740,37,0.999627
750,53,0.999632
760,44,0.999636
770,46,0.999641
780,38,0.999645
790,38,0.999649
800,39,0.999652
810,49,0.999657
820,46,0.999662
830,38,0.999666
840,45,0.999670
850,21,0.999672
860,28,0.999675
870,36,0.999679
880,38,0.999682
890,28,0.999685
900,25,0.999688
910,34,0.999691
920,22,0.999693
930,24,0.999696
940,24,0.999698
950,20,0.999700
960,22,0.999702
970,20,0.999704
980,18,0.999706
990,20,0.999708
1000,19,0.999710
1010,16,0.999712
1020,19,0.999714
1030,21,0.999716
1040,20,0.999718
1050,16,0.999719
1060,26,0.999722
1070,27,0.999725
1080,15,0.999726
1090,27,0.999729
1100,19,0.999731
1110,15,0.999732
1120,24,0.999735
1130,17,0.999736
1140,14,0.999738
1150,12,0.999739
1160,9,0.999740
1170,19,0.999742
1180,17,0.999743
1190,20,0.999745
