#latency,cnt,cdf
0,911267,0.182250
10,583,0.182367
20,449,0.182457
30,15789,0.185614
40,127,0.185640
50,7318,0.187103
60,440999,0.275302
70,51094,0.285520
80,441379,0.373795
90,10313,0.375857
100,132212,0.402299
110,92528,0.420805
120,354739,0.491751
130,160949,0.523940
140,51226,0.534185
150,136770,0.561539
160,28876,0.567314
170,358576,0.639028
180,219494,0.682926
190,310551,0.745035
200,164583,0.777951
210,44992,0.786950
220,69998,0.800949
230,314673,0.863882
240,99077,0.883698
250,52742,0.894246
260,54492,0.905144
270,65293,0.918202
280,38008,0.925804
290,46213,0.935046
300,33184,0.941683
310,49289,0.951541
320,31245,0.957789
330,29586,0.963707
340,24303,0.968567
350,18361,0.972239
360,15416,0.975322
370,12703,0.977863
380,16758,0.981215
390,12122,0.983639
400,9814,0.985602
410,8836,0.987369
420,10621,0.989493
430,5651,0.990623
440,5450,0.991713
450,4799,0.992673
460,4439,0.993561
470,3434,0.994247
480,2724,0.994792
490,2237,0.995240
500,2110,0.995662
510,2339,0.996129
520,1232,0.996376
530,1205,0.996617
540,884,0.996794
550,800,0.996954
560,549,0.997063
570,586,0.997181
580,686,0.997318
590,598,0.997437
600,632,0.997564
610,381,0.997640
620,322,0.997704
630,347,0.997774
640,413,0.997856
650,441,0.997945
660,158,0.997976
670,181,0.998012
680,179,0.998048
690,242,0.998097
700,160,0.998129
710,123,0.998153
720,138,0.998181
730,106,0.998202
740,101,0.998222
750,98,0.998242
760,101,0.998262
770,118,0.998286
780,123,0.998310
790,131,0.998336
800,120,0.998360
810,96,0.998380
820,117,0.998403
830,110,0.998425
840,104,0.998446
850,137,0.998473
860,80,0.998489
870,114,0.998512
880,94,0.998531
890,112,0.998553
900,99,0.998573
910,80,0.998589
920,84,0.998606
930,53,0.998616
940,48,0.998626
950,74,0.998641
960,57,0.998652
970,60,0.998664
980,51,0.998674
990,54,0.998685
1000,62,0.998698
1010,33,0.998704
1020,39,0.998712
1030,32,0.998718
1040,38,0.998726
1050,32,0.998732
1060,33,0.998739
1070,34,0.998746
1080,25,0.998751
1090,24,0.998756
1100,22,0.998760
1110,33,0.998767
1120,39,0.998774
1130,23,0.998779
1140,29,0.998785
1150,15,0.998788
1160,33,0.998794
1170,35,0.998801
1180,32,0.998808
1190,34,0.998815
1200,31,0.998821
1210,24,0.998826
1220,22,0.998830
1230,26,0.998835
1240,30,0.998841
1250,17,0.998845
1260,20,0.998849
1270,37,0.998856
1280,18,0.998860
1290,18,0.998863
1300,26,0.998868
1310,26,0.998874
1320,29,0.998879
1330,34,0.998886
1340,23,0.998891
1350,17,0.998894
1360,18,0.998898
1370,35,0.998905
1380,20,0.998909
1390,34,0.998916
1400,19,0.998919
1410,15,0.998922
1420,40,0.998930
1430,24,0.998935
1440,21,0.998939
1450,26,0.998945
1460,20,0.998949
1470,18,0.998952
1480,26,0.998957
1490,14,0.998960
1500,20,0.998964
1510,21,0.998968
1520,27,0.998974
1530,28,0.998979
1540,24,0.998984
1550,19,0.998988
1560,25,0.998993
1570,19,0.998997
1580,25,0.999002
1590,18,0.999005
1600,18,0.999009
1610,24,0.999014
1620,12,0.999016
1630,18,0.999020
1640,14,0.999023
1650,20,0.999027
1660,20,0.999031
1670,18,0.999034
1680,24,0.999039
1690,21,0.999043
1700,24,0.999048
1710,12,0.999050
1720,11,0.999053
1730,18,0.999056
1740,19,0.999060
1750,27,0.999065
1760,24,0.999070
1770,20,0.999074
1780,30,0.999080
1790,31,0.999086
1800,68,0.999100
1810,41,0.999108
1820,31,0.999114
1830,44,0.999123
1840,32,0.999130
1850,15,0.999133
1860,27,0.999138
1870,21,0.999142
1880,16,0.999145
1890,20,0.999149
1900,24,0.999154
1910,18,0.999158
1920,16,0.999161
1930,31,0.999167
1940,35,0.999174
1950,24,0.999179
1960,26,0.999184
1970,27,0.999190
1980,14,0.999192
1990,17,0.999196
2000,17,0.999199
2010,22,0.999204
2020,17,0.999207
2030,17,0.999210
2040,19,0.999214
2050,19,0.999218
2060,23,0.999223
2070,25,0.999228
2080,16,0.999231
2090,22,0.999235
2100,17,0.999239
2110,11,0.999241
2120,22,0.999245
2130,14,0.999248
2140,13,0.999251
2150,15,0.999254
2160,22,0.999258
2170,18,0.999262
2180,26,0.999267
2190,15,0.999270
2200,22,0.999274
2210,22,0.999279
2220,19,0.999282
2230,28,0.999288
2240,21,0.999292
2250,32,0.999299
2260,23,0.999303
2270,19,0.999307
2280,12,0.999309
2290,22,0.999314
2300,20,0.999318
2310,19,0.999322
2320,21,0.999326
2330,22,0.999330
2340,15,0.999333
2350,13,0.999336
2360,15,0.999339
2370,20,0.999343
2380,19,0.999347
2390,20,0.999351
2400,7,0.999352
2410,22,0.999356
2420,15,0.999359
2430,13,0.999362
2440,21,0.999366
2450,18,0.999370
2460,13,0.999372
2470,20,0.999376
2480,12,0.999379
2490,16,0.999382
2500,10,0.999384
2510,21,0.999388
2520,15,0.999391
2530,15,0.999394
2540,19,0.999398
2550,21,0.999402
2560,20,0.999406
2570,11,0.999408
2580,23,0.999413
2590,11,0.999415
2600,14,0.999418
2610,23,0.999423
2620,20,0.999427
2630,10,0.999429
2640,11,0.999431
2650,13,0.999433
2660,20,0.999437
2670,17,0.999441
2680,17,0.999444
2690,18,0.999448
2700,18,0.999451
2710,16,0.999455
2720,12,0.999457
2730,16,0.999460
2740,10,0.999462
2750,8,0.999464
2760,16,0.999467
2770,14,0.999470
2780,11,0.999472
2790,13,0.999475
2800,18,0.999478
2810,14,0.999481
2820,17,0.999484
2830,19,0.999488
2840,11,0.999490
2850,14,0.999493
2860,13,0.999496
2870,9,0.999498
2880,15,0.999501
2890,9,0.999502
2900,23,0.999507
2910,14,0.999510
2920,21,0.999514
2930,11,0.999516
2940,17,0.999520
2950,18,0.999523
2960,13,0.999526
2970,20,0.999530
2980,17,0.999533
2990,20,0.999537
3000,22,0.999542
3010,15,0.999545
3020,17,0.999548
3030,16,0.999551
3040,22,0.999556
3050,18,0.999559
3060,16,0.999562
3070,10,0.999564
3080,12,0.999567
3090,8,0.999568
3100,14,0.999571
3110,13,0.999574
3120,11,0.999576
3130,20,0.999580
3140,17,0.999583
3150,14,0.999586
3160,9,0.999588
3170,17,0.999591
3180,16,0.999595
3190,8,0.999596
3200,16,0.999599
3210,14,0.999602
3220,9,0.999604
3230,15,0.999607
3240,10,0.999609
3250,16,0.999612
3260,13,0.999615
3270,21,0.999619
3280,21,0.999623
3290,11,0.999625
3300,20,0.999629
3310,15,0.999632
3320,11,0.999635
3330,11,0.999637
3340,6,0.999638
3350,18,0.999642
3360,15,0.999645
3370,13,0.999647
3380,9,0.999649
3390,16,0.999652
3400,12,0.999655
3410,10,0.999657
3420,10,0.999659
3430,8,0.999660
3440,16,0.999663
3450,7,0.999665
3460,12,0.999667
3470,13,0.999670
3480,10,0.999672
3490,10,0.999674
3500,12,0.999676
3510,11,0.999678
3520,7,0.999680
3530,6,0.999681
3540,14,0.999684
3550,11,0.999686
3560,8,0.999688
3570,8,0.999689
3580,11,0.999691
3590,10,0.999693
3600,6,0.999695
3610,8,0.999696
3620,11,0.999698
3630,10,0.999700
3640,3,0.999701
3650,10,0.999703
3660,8,0.999705
3670,11,0.999707
3680,5,0.999708
3690,12,0.999710
3700,3,0.999711
3710,5,0.999712
3720,6,0.999713
3730,6,0.999714
3740,4,0.999715
3750,5,0.999716
3760,4,0.999717
3770,9,0.999719
3780,3,0.999719
3790,3,0.999720
3800,2,0.999720
3810,3,0.999721
3820,4,0.999722
3830,4,0.999722
3840,8,0.999724
3850,7,0.999725
3860,5,0.999726
3870,2,0.999727
3880,4,0.999728
3890,5,0.999729
3900,1,0.999729
3910,3,0.999729
3920,1,0.999730
3930,3,0.999730
3940,2,0.999731
3950,2,0.999731
3960,5,0.999732
3970,4,0.999733
3980,2,0.999733
3990,2,0.999734
4000,2,0.999734
4010,5,0.999735
4020,2,0.999735
4030,4,0.999736
4040,3,0.999737
4050,2,0.999737
4060,1,0.999737
4070,3,0.999738
4080,4,0.999739
4090,1,0.999739
4100,2,0.999739
4110,5,0.999740
4120,3,0.999741
4130,3,0.999742
4140,7,0.999743
4150,1,0.999743
