#latency,cnt,cdf
0,1824635,0.182463
10,1175,0.182581
20,551,0.182636
30,32337,0.185870
40,264,0.185896
50,11729,0.187069
60,1814476,0.368517
70,71498,0.375666
80,1726196,0.548286
90,21987,0.550485
100,453277,0.595812
110,587994,0.654612
120,1089474,0.763559
130,359089,0.799468
140,52325,0.804701
150,1715,0.804872
160,4371,0.805309
170,536454,0.858955
180,193950,0.878350
190,666075,0.944957
200,4463,0.945404
210,808,0.945484
220,3912,0.945876
230,521015,0.997977
240,10488,0.999026
250,596,0.999085
260,356,0.999121
270,285,0.999150
280,222,0.999172
290,204,0.999192
300,154,0.999207
310,202,0.999228
320,203,0.999248
330,185,0.999267
340,142,0.999281
350,108,0.999291
360,83,0.999300
370,85,0.999308
380,102,0.999318
390,58,0.999324
400,64,0.999331
410,41,0.999335
420,51,0.999340
430,44,0.999344
440,23,0.999347
450,37,0.999350
460,25,0.999353
470,25,0.999355
480,32,0.999358
490,23,0.999361
500,35,0.999364
510,42,0.999368
520,38,0.999372
530,40,0.999376
540,40,0.999380
550,56,0.999386
560,37,0.999390
570,53,0.999395
580,40,0.999399
590,53,0.999404
600,52,0.999409
610,40,0.999413
620,50,0.999418
630,47,0.999423
640,39,0.999427
650,41,0.999431
660,29,0.999434
670,40,0.999438
680,32,0.999441
690,31,0.999444
700,30,0.999447
710,26,0.999450
720,25,0.999452
730,21,0.999454
740,28,0.999457
750,29,0.999460
760,26,0.999463
770,23,0.999465
780,26,0.999468
790,25,0.999470
800,23,0.999472
810,22,0.999475
820,22,0.999477
830,16,0.999479
840,28,0.999481
850,25,0.999484
860,15,0.999485
870,20,0.999487
880,39,0.999491
890,25,0.999494
900,36,0.999497
910,33,0.999501
920,26,0.999503
930,18,0.999505
940,23,0.999507
950,24,0.999510
960,29,0.999513
970,44,0.999517
980,46,0.999522
990,54,0.999527
1000,51,0.999532
1010,52,0.999537
1020,36,0.999541
1030,55,0.999546
1040,31,0.999550
1050,39,0.999553
1060,34,0.999557
1070,23,0.999559
1080,29,0.999562
1090,30,0.999565
1100,15,0.999566
1110,32,0.999570
1120,32,0.999573
1130,19,0.999575
1140,25,0.999577
1150,21,0.999579
1160,22,0.999582
1170,12,0.999583
1180,8,0.999584
1190,11,0.999585
1200,10,0.999586
1210,8,0.999587
1220,8,0.999587
1230,5,0.999588
1240,9,0.999589
1250,6,0.999589
1260,10,0.999590
1270,4,0.999591
1280,4,0.999591
1290,8,0.999592
1300,9,0.999593
1310,6,0.999593
1320,20,0.999595
1330,6,0.999596
1340,2,0.999596
1350,7,0.999597
1360,7,0.999598
1370,7,0.999598
1380,8,0.999599
1390,8,0.999600
1400,4,0.999600
1410,8,0.999601
1420,8,0.999602
1430,5,0.999602
1440,6,0.999603
1450,2,0.999603
1460,4,0.999604
1470,6,0.999604
1480,9,0.999605
1490,11,0.999606
1500,8,0.999607
1510,8,0.999608
1520,7,0.999609
1530,8,0.999609
1540,2,0.999609
1550,3,0.999610
1560,4,0.999610
1570,4,0.999611
1580,3,0.999611
1590,7,0.999612
1600,3,0.999612
1610,9,0.999613
1620,6,0.999613
1630,10,0.999614
1640,8,0.999615
1650,5,0.999616
1660,6,0.999616
1670,12,0.999618
1680,4,0.999618
1690,4,0.999618
1700,4,0.999619
1710,3,0.999619
1720,7,0.999620
1730,5,0.999620
1740,6,0.999621
1750,6,0.999621
1760,2,0.999622
1770,14,0.999623
1780,39,0.999627
1790,41,0.999631
1800,49,0.999636
1810,85,0.999644
1820,81,0.999653
1830,54,0.999658
1840,32,0.999661
1850,20,0.999663
1860,42,0.999667
1870,19,0.999669
1880,14,0.999671
1890,16,0.999672
1900,21,0.999674
1910,44,0.999679
1920,47,0.999683
1930,66,0.999690
1940,57,0.999696
1950,42,0.999700
1960,38,0.999704
1970,32,0.999707
1980,22,0.999709
1990,29,0.999712
2000,31,0.999715
2010,12,0.999716
2020,31,0.999719
2030,17,0.999721
2040,3,0.999721
2050,8,0.999722
2060,2,0.999722
2070,11,0.999723
2080,10,0.999725
2090,3,0.999725
2100,2,0.999725
2110,3,0.999725
2120,3,0.999726
2130,8,0.999726
2140,4,0.999727
2150,14,0.999728
2160,11,0.999729
2170,5,0.999730
2180,8,0.999731
2190,12,0.999732
2200,8,0.999733
2210,15,0.999734
2220,13,0.999735
2230,9,0.999736
2240,13,0.999738
2250,15,0.999739
2260,7,0.999740
2270,18,0.999742
2280,21,0.999744
2290,9,0.999745
2300,10,0.999746
2310,4,0.999746
2320,7,0.999747
2330,10,0.999748
2340,11,0.999749
2350,5,0.999749
2360,4,0.999750
2370,7,0.999750
2380,9,0.999751
2390,15,0.999753
2400,6,0.999753
2410,13,0.999755
2420,13,0.999756
2430,5,0.999757
2440,10,0.999758
2450,9,0.999758
2460,8,0.999759
2470,11,0.999760
2480,7,0.999761
2490,8,0.999762
2500,11,0.999763
2510,9,0.999764
2520,9,0.999765
2530,11,0.999766
2540,7,0.999767
2550,8,0.999767
2560,14,0.999769
2570,10,0.999770
2580,9,0.999771
2590,11,0.999772
2600,4,0.999772
2610,13,0.999773
2620,9,0.999774
2630,13,0.999776
2640,15,0.999777
2650,15,0.999779
2660,10,0.999780
2670,8,0.999780
2680,17,0.999782
2690,6,0.999783
2700,10,0.999784
2710,16,0.999785
2720,12,0.999786
2730,11,0.999788
2740,7,0.999788
2750,9,0.999789
2760,13,0.999790
2770,6,0.999791
2780,10,0.999792
2790,5,0.999793
2800,5,0.999793
2810,5,0.999794
2820,5,0.999794
2830,10,0.999795
2840,8,0.999796
2850,4,0.999796
2860,3,0.999797
2870,1,0.999797
2880,2,0.999797
2890,4,0.999797
2900,8,0.999798
2910,5,0.999799
2920,2,0.999799
2930,5,0.999799
2940,2,0.999799
2960,4,0.999800
2970,6,0.999801
2980,1,0.999801
3000,4,0.999801
3010,4,0.999801
3020,2,0.999802
3030,5,0.999802
3040,4,0.999802
3050,2,0.999803
3060,5,0.999803
3070,6,0.999804
3080,7,0.999804
3090,5,0.999805
3100,2,0.999805
3110,4,0.999806
3120,1,0.999806
3130,3,0.999806
3140,3,0.999806
3150,3,0.999807
3160,5,0.999807
3170,2,0.999807
3180,3,0.999808
3190,5,0.999808
3200,9,0.999809
3210,3,0.999809
3220,6,0.999810
3230,4,0.999810
3240,2,0.999811
3250,5,0.999811
3260,6,0.999812
3270,4,0.999812
3280,10,0.999813
3290,6,0.999814
3300,7,0.999814
3310,3,0.999815
3320,5,0.999815
3330,7,0.999816
3340,4,0.999816
3350,7,0.999817
3360,12,0.999818
3370,4,0.999819
3380,6,0.999819
3390,2,0.999819
3400,4,0.999820
3410,4,0.999820
3420,2,0.999820
3430,7,0.999821
3440,5,0.999821
3450,3,0.999822
3460,7,0.999822
3470,5,0.999823
3480,8,0.999824
3490,4,0.999824
3500,3,0.999825
3510,4,0.999825
3520,1,0.999825
3530,3,0.999825
3540,9,0.999826
3550,4,0.999827
3560,2,0.999827
3570,5,0.999827
3580,6,0.999828
3590,7,0.999829
3600,4,0.999829
3610,6,0.999830
3620,5,0.999830
3630,2,0.999830
3640,4,0.999831
3650,5,0.999831
3660,7,0.999832
3670,5,0.999832
3680,7,0.999833
3690,2,0.999833
3700,7,0.999834
3710,5,0.999834
3720,3,0.999835
3730,4,0.999835
3740,6,0.999836
3750,10,0.999837
3760,4,0.999837
3770,3,0.999838
3780,4,0.999838
3790,3,0.999838
3800,2,0.999838
3810,1,0.999838
3820,3,0.999839
3830,6,0.999839
3840,4,0.999840
3850,5,0.999840
3860,7,0.999841
3870,6,0.999842
3880,2,0.999842
3890,7,0.999843
3900,2,0.999843
3910,5,0.999843
3920,2,0.999843
3930,7,0.999844
3940,2,0.999844
3950,4,0.999845
3960,3,0.999845
3970,3,0.999845
3980,6,0.999846
3990,1,0.999846
4000,3,0.999846
4010,1,0.999846
4020,5,0.999847
4030,4,0.999847
4040,3,0.999848
4050,5,0.999848
4060,5,0.999849
4070,5,0.999849
4080,6,0.999850
4090,9,0.999851
4100,1,0.999851
4120,3,0.999851
4130,3,0.999851
4140,7,0.999852
4150,3,0.999852
4160,2,0.999852
4170,5,0.999853
4180,5,0.999853
4190,3,0.999854
4200,2,0.999854
4210,2,0.999854
4220,3,0.999855
4230,1,0.999855
4240,5,0.999855
4250,1,0.999855
4260,1,0.999855
4270,3,0.999856
4280,2,0.999856
4290,1,0.999856
4300,4,0.999856
4310,7,0.999857
4330,4,0.999857
4340,3,0.999858
4350,6,0.999858
4360,2,0.999858
4380,2,0.999859
4390,5,0.999859
4400,1,0.999859
4410,3,0.999860
4420,4,0.999860
4430,4,0.999860
4440,6,0.999861
4450,3,0.999861
4460,7,0.999862
4470,2,0.999862
4480,10,0.999863
4490,2,0.999863
4500,4,0.999864
4510,5,0.999864
4520,6,0.999865
4530,2,0.999865
4540,6,0.999866
